id,dataset,metric_name,metric_value,data_month,recorded_at,updated_at
19,citibike,avg_duration,9.38,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
21,citibike,casual_trips,201331.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
23,citibike,classic_trips,630132.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
22,citibike,electric_trips,1493166.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
20,citibike,member_trips,1921967.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
18,citibike,total_trips,2123298.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
16,fhv,avg_duration,22.51,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
15,fhv,total_trips,1886343.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
17,fhv,unique_bases,852.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
13,green,avg_distance,3.42,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
12,green,avg_fare,16.76,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
14,green,total_revenue,930000.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
11,green,total_trips,46800.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
3,yellow,avg_distance,3.19,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
4,yellow,avg_duration,14.93,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
2,yellow,avg_fare,17.89,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
5,yellow,avg_passengers,1.35,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
6,yellow,avg_tip,3.5,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
8,yellow,total_base_fare,50200000.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
10,yellow,total_congestion,6530000.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
7,yellow,total_revenue,76668730.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
9,yellow,total_tips,9820000.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
1,yellow,total_trips,2805395.0,2025-01,2026-07-06 23:16:26.438754,2026-07-06 23:16:26.438754
