id,zone_id,zone_name,trips,avg_fare,avg_dist,dataset,data_month,recorded_at
1,237,Upper East Side S,147687,11.99,1.65,yellow,2025-01,2026-07-06 23:14:18.445666
16,237,Upper East Side S,147687,11.99,1.65,yellow,2025-01,2026-07-06 23:16:26.443940
2,161,Midtown East,146422,14.99,2.2,yellow,2025-01,2026-07-06 23:14:18.445666
17,161,Midtown East,146422,14.99,2.2,yellow,2025-01,2026-07-06 23:16:26.443940
3,236,Upper East Side N,137535,12.51,1.81,yellow,2025-01,2026-07-06 23:14:18.445666
18,236,Upper East Side N,137535,12.51,1.81,yellow,2025-01,2026-07-06 23:16:26.443940
4,132,JFK Airport,132263,62.84,15.79,yellow,2025-01,2026-07-06 23:14:18.445666
19,132,JFK Airport,132263,62.84,15.79,yellow,2025-01,2026-07-06 23:16:26.443940
20,186,Penn Station/Madison Sq W,107994,15.37,2.19,yellow,2025-01,2026-07-06 23:16:26.443940
5,186,Penn Station/Madison Sq W,107994,15.37,2.19,yellow,2025-01,2026-07-06 23:14:18.445666
21,230,Two Bridges/Seaport,107262,17.4,2.83,yellow,2025-01,2026-07-06 23:16:26.443940
6,230,Two Bridges/Seaport,107262,17.4,2.83,yellow,2025-01,2026-07-06 23:14:18.445666
7,162,Midtown North,104838,14.63,2.19,yellow,2025-01,2026-07-06 23:14:18.445666
22,162,Midtown North,104838,14.63,2.19,yellow,2025-01,2026-07-06 23:16:26.443940
8,142,Lincoln Square E,97348,13.38,2.06,yellow,2025-01,2026-07-06 23:14:18.445666
23,142,Lincoln Square E,97348,13.38,2.06,yellow,2025-01,2026-07-06 23:16:26.443940
9,138,LaGuardia Airport,85078,42.17,9.65,yellow,2025-01,2026-07-06 23:14:18.445666
24,138,LaGuardia Airport,85078,42.17,9.65,yellow,2025-01,2026-07-06 23:16:26.443940
25,163,Midtown South,84436,15.18,2.29,yellow,2025-01,2026-07-06 23:16:26.443940
10,163,Midtown South,84436,15.18,2.29,yellow,2025-01,2026-07-06 23:14:18.445666
11,239,Upper West Side S,81612,13.02,2.0,yellow,2025-01,2026-07-06 23:14:18.445666
26,239,Upper West Side S,81612,13.02,2.0,yellow,2025-01,2026-07-06 23:16:26.443940
27,170,Newark Airport,79295,14.47,2.17,yellow,2025-01,2026-07-06 23:16:26.443940
12,170,Newark Airport,79295,14.47,2.17,yellow,2025-01,2026-07-06 23:14:18.445666
28,234,Union Sq,77808,13.27,1.95,yellow,2025-01,2026-07-06 23:16:26.443940
13,234,Union Sq,77808,13.27,1.95,yellow,2025-01,2026-07-06 23:14:18.445666
14,68,East Chelsea,75064,15.78,2.42,yellow,2025-01,2026-07-06 23:14:18.445666
29,68,East Chelsea,75064,15.78,2.42,yellow,2025-01,2026-07-06 23:16:26.443940
30,48,Clinton East,69955,14.41,2.33,yellow,2025-01,2026-07-06 23:16:26.443940
15,48,Clinton East,69955,14.41,2.33,yellow,2025-01,2026-07-06 23:14:18.445666
